ID Mahasiswa,Jenis Kelamin,Angkatan,Program Studi,AI apa yang paling sering Anda gunakan untuk belajar? ,Frekuensi penggunaan AI dalam 1 minggu terakhir? ,AI membantu saya memahami materi kuliah yang sulit dengan lebih cepat. ,Penggunaan AI meningkatkan kualitas tugas dan laporan saya. ,Saya lebih percaya diri dalam ujian setelah menggunakan AI untuk latihan. ,AI mendukung pembelajaran mandiri di luar jam kuliah ,Penggunaan AI mempengaruhi Privasi Data saya,Saya khawatir AI mengurangi kemampuan berpikir kritis saya. ,Kampus ITSB sudah siap mendukung penggunaan AI secara etis. ,"Dosen sebaiknya integrasikan AI dalam mata kuliah (misal: tugas kolaboratif).
Bagaimana Menurut anda ?",Apa risiko terbesar penggunaan AI menurut Anda? ,"Apakah ITSB perlu memiliki kebijakan penggunaan AI, Mengapa ?"
2560,Laki-Laki,2025,Informatika,"ChatGPT, Claude, Notebooklm",>7x,4,4,4,4,3,1,2,"Tidak bisa memberikan pendapat terkait hal ini, karena banyak aspek/parameter yang membuat pertanyaan ini bisa bernilai positif dan negatif di saat yang bersamaan",Percaya penuh pada jawaban AI tanpa melakukan cross check nilai kebenaran.,"Ya, perlu. Karena, risiko terjadinya penyalahgunaan AI di kalangan mahasiswa masih cukup tinggi, utamanya dalam scope pendidikan seperti plagiarisme. Juga dampak lain yang mungkin terjadi. Jadi menurut saya perlu adanya kebijakan dan edukasi lebih terhadap AI ini."
2350,Laki-Laki,2025,Teknik Metalurgi,"Gemini, Claude, Gamma, Notebook LM",>7x,4,4,4,4,2,1,2,"Mungkin saja, ketika dosen dan mahasiswa sudah memiliki pengetahuan mengenai AI.","Untuk mahasiswa, bisa jadi mahasiswa menggunakan AI untuk mengerjakan tugas tapi tidak memahami isinya.","Untuk beberapa hal tertentu, kemungkinan perlu. Seperti penggunaan AI untuk keperluan akademik mengharuskan tanggungjawab untuk memahami isi di dalamnya "
2328,Laki-Laki,2025,Teknik Perminyakan,"ChatGPT, Gemini, Deepseek",4-7x,4,4,4,4,4,4,4,Bisa,Bisa malas untuk baca buku,"Iya, karena sangat membantu mahasiswa "
2315,Perempuan,2024,Sains Data,Claude,>7x,4,4,4,4,4,3,4,"Setuju, karena pada zaman digital seperti ini sudah seharusnya kita berdampingan dengan AI. Tetapi tetap harus ada batasan penggunaan dalam bidang pendidikan.",Menurunkan critical thinking mahasiswa dan tingkat usaha sendiri tanpa mengandalkan AI dari awal,"Ya, karena jika tidak diberi kebijakan, akan selalu ada penyimpangan dalam pemakaian."
2458,Perempuan,2025,Sains Data,"ChatGPT, Gemini, Claude",>7x,3,3,2,4,2,4,2,Boleh,Kurang berpikir secara kritis,"Perlu, karna nanti akan tergantungan ai"
2580,Perempuan,2025,Sains Data,"ChatGPT, Gemini, Claude, Deepseek",4-7x,3,2,1,3,1,2,3,"Menurut saya, dosen boleh mengintegrasikan AI dalam mata kuliah, terutama untuk tugas kolaboratif, karena dapat membantu mahasiswa memahami materi dan mencari ide. Namun, penggunaannya harus dibatasi agar mahasiswa tetap berpikir mandiri dan tidak bergantung sepenuhnya pada AI.","Menurut saya, risiko terbesar penggunaan AI adalah ketergantungan berlebihan, sehingga mahasiswa menjadi kurang berpikir kritis dan cenderung hanya mengandalkan hasil dari AI tanpa memahami prosesnya.","Ya, perlu. Karena kebijakan penggunaan AI membantu mengatur batasan dan etika, mencegah penyalahgunaan seperti plagiarisme, serta memastikan AI digunakan sebagai alat bantu, bukan pengganti proses belajar mahasiswa."
2317,Laki-Laki,2025,Teknik Sipil,Gemini,4-7x,3,4,3,4,3,2,3,"Setuju,kerena didunia kerjapun seperti itu,di bidang manapun ai selalu digunakan untuk membantu keguatan ataupun pekerjaan kita",Mengurangi berfikir kritis kita jika terlalu bergantung sepenuhnya pada ai,"Tidak, karena dalam tugas kita tetap membutuhkan ai untuk mengcroscek ulang ataupun mengoreksi materi ataupun bisa menjadi bahan referensi bagi mahasiswa"
2322,Perempuan,2025,Teknik Sipil,Gemini,4-7x,3,2,1,3,3,3,3,"setuju,membantu mahasiswa agar lebih kolaborstif terhadap teknologi baru/ai",kurangnya pemahaman dari diri sendiri karena terbiasa mengunakan ai,"tidak,karena dari diri kita sendiri bisa memilah yang mana bisa digunakan dengan bijak"
2399,Perempuan,2025,Teknik Metalurgi,"Gemini, Perplexity",1-3x,3,4,4,4,3,4,2,boleh saja asal sudah membekali mahasiswa mengenai batas-batas penggunaan ai,Kurangnya kemampuan bernalar kritis,"yA, kArena semakin marak oenggunaan AI yang mengkhawatirkan."
2461,Laki-Laki,2025,Teknik Pertambangan,Copilot ,4-7x,4,3,4,3,4,4,2,Bisa saja namun dosen harus memberi batasan dalam penggunaan AI seperti penggunaan Generatif AI,Kemampuan berpikir kritis menjadi lemah dan pemilihan keputusan dapat terganggu,Agar Mahasiswa tidak spenuhnya bergantung terhadap AI
2580,Laki-Laki,2025,Teknologi Pengolahan Pulp & Paper,"ChatGPT, Claude",4-7x,3,3,2,3,2,2,4,setuju',penyalahgunaan ,"ya, sebagai batasan untuk penggunaan "
2551,Perempuan,2025,Informatika,Gemini,4-7x,4,3,3,4,3,2,3,"Produktivitas: Mempercepat brainstorming dan pengerjaan tugas teknis. 
​Kesiapan Kerja: Membiasakan mahasiswa menggunakan alat standar industri masa depan. ​Fokus Kritis: Mengalihkan beban tugas rutin ke AI agar mahasiswa fokus pada analisis dan kreativitas. ",Atrofi Keterampilan: Kehilangan kemampuan dasar (seperti logika dasar atau menulis kritis) karena terlalu mengandalkan otomatisasi. ​Keamanan Data: Risiko kebocoran informasi sensitif saat diinput ke dalam model AI. ,Kebijakan ini menetapkan batasan jelas antara bantuan AI dan plagiarisme. Mahasiswa perlu tahu kapan AI boleh digunakan 
2386,Perempuan,2024,Sains Data,"ChatGPT, Deepseek",1-3x,3,3,2,3,2,4,3,Setuju,Kurangnya berfikir secara kritis,"Karena, di zaman yang serba digital ini kita dapat menggali informasi melalui AI"
2367,Perempuan,2025,Teknologi Pengolahan Sawit,"ChatGPT, Gemini",1-3x,4,3,4,4,3,3,3,"Menurut saya sangat setuju. AI bisa membantu mahasiswa memahami materi lebih cepat, mencari referensi, dan meningkatkan kreativitas dalam tugas seperti proyek kolaboratif. Tapi tetap perlu arahan dosen supaya penggunaannya tidak berlebihan dan tetap fokus pada pemahaman, bukan hanya hasil","Risiko terbesar adalah ketergantungan berlebihan, sehingga mahasiswa jadi kurang berpikir kritis dan malas belajar mandiri. Selain itu, ada juga risiko plagiarisme dan informasi yang tidak selalu akurat.","Ya, perlu. Karena dengan adanya kebijakan, penggunaan AI bisa lebih terarah, etis, dan tidak disalahgunakan. Kebijakan juga membantu menjaga kejujuran akademik serta memastikan AI digunakan sebagai alat bantu belajar, bukan untuk menggantikan usaha mahasiswa."
2400,Laki-Laki,2023,Teknologi Pengolahan Pulp & Paper,Perplexity,1-3x,3,3,2,3,2,4,3,Menurut saya akan cocok ,Kurangnya berfikir natural dan menjadi ketergantungan ai,"Perlu,agar tidak terlalu ketergantungan dan menggunakan nya dengan bijak"
2542,Laki-Laki,2025,Sains Data,"ChatGPT, Gemini, Deepseek",>7x,4,4,4,4,3,3,3,"Sebuah gebrakan yang bagus untuk mengintegrasikan AI dalam mata kuliah, namun tetap saja harus selalu diiringi dengan pembelajaran yang efektif di kelas",Resiko ketergantungan dalam penggunaannya sehingga membuat seseorang merasa malas untuk mendapatkan sesuatu melalui proses yang matang karena terbiasa dengan hasil yang instan ,"Apapun dampak negatifnya, penggunaan AI tetap sangatlah dibutuhkan untuk menunjang kegiatan belajar mengajar namun harus diiringi dengan kebijakan kampus terhadap penggunaan AI tersebut agar AI bisa dimanfaatkan dengan totalitas dan sebaik-baiknya"
2302,Perempuan,2024,Sains Data,"ChatGPT, Claude",4-7x,3,3,3,3,3,3,3,"Integrasi AI dalam pembelajaran sangat relevan untuk meningkatkan efektivitas dan kolaborasi siswa. AI dapat digunakan sebagai alat bantu, analisis ide, dan penyelesaian masalah, sehingga mendorong pembelajaran yang lebih adaptif, interaktif, dan berbasis praktik.","Risiko terbesar adalah ketergantungan berlebihan yang dapat menurunkan kemampuan berpikir kritis dan orisinalitas siswa. Selain itu, terdapat potensi seperti plagiarisme dan penggunaan informasi yang tidak terverifikasi.","Ya, ITSB perlu memiliki kebijakan penggunaan AI untuk memastikan pemanfaatan yang etis, bertanggung jawab, dan sesuai dengan standar akademik. Kebijakan ini penting untuk mengatur batasan penggunaan, menjaga integritas akademik, serta melindungi kualitas pembelajaran."
2429,Laki-Laki,2025,Teknik Pertambangan,Gemini,1-3x,3,4,3,3,3,4,4,Baik,Takut tidak bisa berfikir kritis,Perlu 
2519,Perempuan,2025,Teknologi Pengolahan Pulp & Paper,"ChatGPT, Gemini, Claude",1-3x,4,3,4,4,3,3,4,"Saya sangat setuju. Integrasi AI dalam perkuliahan akan membantu mahasiswa lebih siap menghadapi industri modern. AI sebaiknya digunakan bukan hanya sebagai alat pencari informasi, tetapi sebagai mitra kolaborasi untuk mempercepat analisis data teknis atau simulasi proses industri yang kompleks, sehingga mahasiswa bisa lebih fokus pada pengembangan logika dan pengambilan keputusan.","Risiko terbesarnya adalah penurunan kemampuan berpikir kritis dan ketergantungan berlebihan jika mahasiswa menggunakan AI hanya untuk mendapatkan jawaban instan tanpa memahami konsep dasarnya. Selain itu, adanya potensi bias informasi dan masalah integritas akademik (plagiarisme) menjadi tantangan besar jika tidak dibarengi dengan literasi AI yang baik.","Ya, sangat perlu. Kebijakan ini penting untuk memberikan batasan yang jelas mengenai etika penggunaan AI dalam tugas akademik maupun riset. Dengan adanya kebijakan resmi, ITSB dapat memastikan bahwa teknologi AI digunakan secara bertanggung jawab untuk meningkatkan produktivitas mahasiswa, tanpa mengorbankan kualitas pendidikan dan nilai-nilai kejujuran intelektual di lingkungan kampus."
2555,Perempuan,2025,Desain Produk,"ChatGPT, Gemini, Perplexity, Deepseek, Viscom, dreamina capcut, copilot ",4-7x,3,3,3,4,3,4,3,"Menurut saya itu ide yang bagus, tapi harus dirancang dengan hati-hati supaya benar-benar meningkatkan pembelajaran, dan mahasiswa tidak terlalu ketergantungan kepada AI",Menurut saya risiko terbesar penggunaan AI yaitu berkurangnya atau mulai melemah kemampuan berpikir kritis karena ketergantungan yang berlebihan. ,"Iya ITSB perlu memiliki kebijakan penggunaan AI karena jika tanpa aturan yang jelas penggunaan AI bisa menimbulkan plagiarisme, ketidakadilan antar mahasiswa atau ketergantungan berlebihan. Jika ada kebijakan ini menurut saya juga bisa melatih mahasiswa menggunakan teknologi secara bertanggung jawab sesuai kebutuhan dunia kerja nantinya di masa sekarang atau masa depan."
2580,Laki-Laki,2025,Informatika,"ChatGPT, Gemini, Claude, Deepseek",4-7x,3,3,3,3,3,4,4,"Menurut saya, Saya setuju dengan tindakan dosen sebaiknya mengintegrasikan AI dalam perkuliahan, tetapi penggunaannya harus diarahkan untuk membantu mencari ide awal, memahami materi yang dirasa kurang dimengerti  dan mencari referensi referensi yang ingin diketahui misal untuk membuat laporan atau esai dll, bukan untuk pengganti proses berpikir mahasiswa.",Ketergantungan yang berlebihan sehingga menurunkan kemampuan untuk berpikir secara mandiri dan kemampuan untuk menciptakan ide baru atau berkreativitas.,"Ya, karena untuk mengurangi risiko yang sudah saya tulis sebelumnya dan dapat digunakan secara aman, etis, dan bertanggung jawab."
2409,Perempuan,2025,Teknik Perminyakan,"ChatGPT, Gemini",1-3x,4,3,2,4,2,3,4,setuju,"hilangnya kemampuan dan kemandirian dalam berfikir kritis, ketergantungan terhadap ai","ya, mengurangi kecurangan dalam ujian"
2549,Laki-Laki,2025,Teknik Pertambangan,ChatGPT,1-3x,1,1,2,3,2,3,2,sepakat,tidak dapat mencerna materi yang diberikan karena sudah adanya ketergantungan terhadap penggunaan ai,"kurang, karena mahasiswa nanti tidak dapat berpikir secara sistematis dan rasional "
2429,Laki-Laki,2023,Teknologi Pengolahan Pulp & Paper,"ChatGPT, Gemini",1-3x,3,2,2,4,3,4,3,"menurut saya integrasi AI perlu di laksanakan untuk membantu mengerjakan tugas tetapi tetap tidak boleh hanya copas dari AI tersebut, kita harus mengolah data yang di berikan oleh AI","peralihan industri yang menggunakan banyak tenaga manusia menjadi industri yang menggunakan serba robotik dimasa depan, saat ini resiko terbesarnya kemampuan berfikir bisa sangat menurun drastis ","perlu, agar mahasiswa tidak hanya copas dari AI, tetapi juga harus mengolah dan menganalisis data itu kembali"
2335,Perempuan,2025,Teknik Pertambangan,"ChatGPT, Perplexity",1-3x,2,4,1,3,1,4,3,"Boleh saja, asal tidak sepenuhnya bergantung pada AI",Kemampuan berpikir menurun ,"Tentu saja, agar menjaga kualitas berpikir mahasiswa "
2393,Laki-Laki,2025,Teknik Sipil,"ChatGPT, Gemini",>7x,4,4,4,4,3,1,3,"Setuju, namun cukup menjadi selingan saja, bukan semuanya. ","Risiko terbesarnya, menurut saya adalah, timbulnya sedikit saja rasa malas untuk belajar dengan AI, sehingga tugas manapun, diselesaikan instan dengan AI, bukan malah memahami dengan AI, kemudian menyelesaikannya dengan kemampuan diri sendiri. ","Harus, bahkan Wajib, memanfaatkan AI di zaman sekarang, menurut saya adalah langkah yang sangat tepat, karena itu mengikuti perkembangan zaman, kita harus evolve buat itu kan? Kemudian, ketika kita beretika menggunakan AI, Kualitas diri kita juga sebenarnya meningkat, tanpa kita sadari. "
